"Date","Price","Open","High","Low","Change %"
"Mar 21, 2017","111.72","112.55","112.88","111.55","-0.75%"
"Mar 20, 2017","112.56","112.69","112.89","112.44","-0.14%"
"Mar 17, 2017","112.72","113.31","113.50","112.55","-0.52%"
"Mar 16, 2017","113.31","113.36","113.56","112.91","-0.06%"
"Mar 15, 2017","113.38","114.75","114.91","113.18","-1.19%"
"Mar 14, 2017","114.75","114.88","115.20","114.50","-0.11%"
"Mar 13, 2017","114.88","114.81","114.93","114.47","0.11%"
"Mar 10, 2017","114.75","114.94","115.51","114.63","-0.17%"
"Mar 09, 2017","114.94","114.38","115.03","114.33","0.52%"
"Mar 08, 2017","114.35","113.99","114.77","113.61","0.32%"
"Mar 07, 2017","113.98","113.89","114.17","113.72","0.08%"
"Mar 06, 2017","113.89","114.02","114.14","113.55","-0.11%"
"Mar 03, 2017","114.02","114.42","114.77","113.83","-0.34%"
"Mar 02, 2017","114.41","113.75","114.61","113.69","0.60%"
"Mar 01, 2017","113.73","112.78","114.06","112.73","0.84%"
"Feb 28, 2017","112.78","112.72","112.91","111.70","0.07%"
"Feb 27, 2017","112.70","112.11","112.86","111.92","0.45%"
"Feb 24, 2017","112.19","112.61","112.96","111.92","-0.36%"
"Feb 23, 2017","112.59","113.31","113.47","112.56","-0.63%"
"Feb 22, 2017","113.30","113.72","113.75","112.91","-0.34%"
"Feb 21, 2017","113.69","113.08","113.78","113.08","0.52%"
"Feb 20, 2017","113.10","112.86","113.26","112.78","0.19%"
"Feb 17, 2017","112.88","113.25","113.53","112.61","-0.31%"
"Feb 16, 2017","113.23","114.17","114.36","113.09","-0.82%"
"Feb 15, 2017","114.17","114.23","114.97","113.84","-0.08%"
"Feb 14, 2017","114.26","113.73","114.50","113.22","0.45%"
"Feb 13, 2017","113.75","113.33","114.17","113.28","0.47%"
"Feb 10, 2017","113.22","113.25","113.88","112.86","-0.03%"
"Feb 09, 2017","113.25","111.97","113.38","111.73","1.17%"
"Feb 08, 2017","111.94","112.36","112.55","111.61","-0.40%"
"Feb 07, 2017","112.39","111.75","112.58","111.58","0.57%"
"Feb 06, 2017","111.75","112.42","112.81","111.64","-0.84%"
"Feb 03, 2017","112.70","112.78","113.45","112.28","-0.10%"
"Feb 02, 2017","112.81","113.25","113.36","112.03","-0.39%"
"Feb 01, 2017","113.25","112.81","113.97","112.62","0.40%"
"Jan 31, 2017","112.80","113.75","113.97","112.06","-0.86%"
"Jan 30, 2017","113.78","115.09","115.14","113.44","-1.13%"
"Jan 27, 2017","115.08","114.53","115.39","114.39","0.48%"
"Jan 26, 2017","114.53","113.28","114.86","113.03","1.10%"
"Jan 25, 2017","113.28","113.78","114.00","113.03","-0.46%"
"Jan 24, 2017","113.80","112.70","113.91","112.50","0.98%"
"Jan 23, 2017","112.70","114.37","114.45","112.68","-1.68%"
"Jan 20, 2017","114.62","114.88","115.41","114.22","-0.22%"
"Jan 19, 2017","114.87","114.63","115.62","114.38","0.17%"
"Jan 18, 2017","114.67","112.61","114.77","112.56","1.80%"
"Jan 17, 2017","112.64","114.19","114.30","112.59","-1.37%"
"Jan 16, 2017","114.20","114.55","114.55","113.67","-0.29%"
"Jan 13, 2017","114.53","114.72","115.46","114.20","-0.17%"
"Jan 12, 2017","114.72","115.42","115.53","113.75","-0.60%"
"Jan 11, 2017","115.41","115.78","116.86","114.24","-0.31%"
"Jan 10, 2017","115.77","116.02","116.35","115.19","-0.22%"
"Jan 09, 2017","116.03","116.91","117.53","115.97","-0.76%"
"Jan 06, 2017","116.92","115.36","117.19","115.06","1.35%"
"Jan 05, 2017","115.36","117.25","117.44","115.22","-1.63%"
"Jan 04, 2017","117.27","117.77","118.19","117.05","-0.41%"
"Jan 03, 2017","117.75","117.55","118.61","117.20","0.19%"
"Jan 02, 2017","117.53","116.92","117.69","116.72","0.55%"
"Dec 30, 2016","116.89","116.56","117.22","116.05","0.29%"
"Dec 29, 2016","116.55","117.25","117.27","116.20","-0.60%"
"Dec 28, 2016","117.25","117.41","117.83","117.05","-0.14%"
"Dec 27, 2016","117.42","117.09","117.64","117.08","0.28%"
"Dec 26, 2016","117.09","117.38","117.40","116.99","-0.22%"
"Dec 23, 2016","117.35","117.55","117.67","117.18","-0.16%"
"Dec 22, 2016","117.54","117.58","117.90","117.26","-0.01%"
"Dec 21, 2016","117.55","117.84","118.07","117.08","-0.28%"
"Dec 20, 2016","117.88","117.11","118.28","116.99","0.68%"
"Dec 19, 2016","117.08","117.89","118.03","116.53","-0.77%"
"Dec 16, 2016","117.99","118.18","118.43","117.45","-0.15%"
"Dec 15, 2016","118.17","117.05","118.67","116.97","0.96%"
"Dec 14, 2016","117.05","115.17","117.39","114.75","1.61%"
"Dec 13, 2016","115.19","115.03","115.50","114.73","0.14%"
"Dec 12, 2016","115.03","115.22","116.12","114.83","-0.32%"
"Dec 09, 2016","115.40","114.04","115.40","114.00","1.20%"
"Dec 08, 2016","114.03","113.73","114.39","113.14","0.23%"
"Dec 07, 2016","113.77","114.00","114.41","113.39","-0.22%"
"Dec 06, 2016","114.02","113.88","114.22","113.50","0.16%"
"Dec 05, 2016","113.84","113.55","114.80","112.86","0.23%"
"Dec 02, 2016","113.58","114.10","114.25","113.33","-0.45%"
"Dec 01, 2016","114.09","114.45","114.83","113.81","-0.33%"
"Nov 30, 2016","114.47","112.41","114.56","112.05","1.85%"
"Nov 29, 2016","112.39","111.94","113.36","111.61","0.40%"
"Nov 28, 2016","111.94","113.05","113.12","111.33","-1.01%"
"Nov 25, 2016","113.08","113.34","113.91","112.55","-0.23%"
"Nov 24, 2016","113.34","112.53","113.58","112.39","0.73%"
"Nov 23, 2016","112.52","111.11","112.98","110.83","1.26%"
"Nov 22, 2016","111.12","110.81","111.36","110.23","0.26%"
"Nov 21, 2016","110.83","110.93","111.40","110.46","-0.11%"
"Nov 18, 2016","110.95","110.13","110.98","109.80","0.76%"
"Nov 17, 2016","110.11","109.08","110.20","108.55","0.94%"
"Nov 16, 2016","109.08","109.19","109.77","108.78","-0.08%"
"Nov 15, 2016","109.17","108.42","109.36","107.77","0.69%"
"Nov 14, 2016","108.42","106.54","108.56","106.53","1.63%"
"Nov 11, 2016","106.68","106.82","106.94","106.01","-0.14%"
"Nov 10, 2016","106.83","105.67","106.95","104.97","1.10%"
"Nov 09, 2016","105.67","105.14","105.91","101.17","0.48%"
"Nov 08, 2016","105.16","104.46","105.22","104.29","0.66%"
"Nov 07, 2016","104.47","103.14","104.64","103.09","1.29%"
"Nov 04, 2016","103.14","102.98","103.37","102.83","0.16%"
"Nov 03, 2016","102.98","103.31","103.45","102.56","-0.32%"
"Nov 02, 2016","103.31","104.14","104.19","103.00","-0.82%"
"Nov 01, 2016","104.16","104.84","105.14","103.81","-0.63%"
"Oct 31, 2016","104.82","104.69","105.23","104.25","0.11%"
"Oct 28, 2016","104.70","105.28","105.55","104.47","-0.56%"
"Oct 27, 2016","105.29","104.46","105.35","104.28","0.78%"
"Oct 26, 2016","104.47","104.22","104.62","104.00","0.23%"
"Oct 25, 2016","104.23","104.18","104.88","104.10","0.04%"
"Oct 24, 2016","104.19","103.86","104.33","103.70","0.35%"
"Oct 21, 2016","103.83","103.95","104.23","103.53","-0.12%"
"Oct 20, 2016","103.95","103.44","104.11","103.33","0.49%"
"Oct 19, 2016","103.44","103.84","103.94","103.16","-0.40%"
"Oct 18, 2016","103.86","103.89","104.22","103.67","-0.03%"
"Oct 17, 2016","103.89","104.06","104.39","103.77","-0.29%"
"Oct 14, 2016","104.19","103.70","104.48","103.59","0.48%"
"Oct 13, 2016","103.69","104.22","104.64","103.33","-0.49%"
"Oct 12, 2016","104.20","103.52","104.50","103.28","0.66%"
"Oct 11, 2016","103.52","103.61","104.08","103.16","-0.09%"
"Oct 10, 2016","103.61","103.09","103.81","102.81","0.67%"
"Oct 07, 2016","102.92","103.94","104.05","102.86","-0.98%"
"Oct 06, 2016","103.94","103.50","104.17","103.33","0.43%"
"Oct 05, 2016","103.50","102.89","103.67","102.67","0.59%"
"Oct 04, 2016","102.89","101.64","102.97","101.56","1.23%"
"Oct 03, 2016","101.64","101.39","101.69","101.22","0.30%"
"Sep 30, 2016","101.34","101.03","101.77","100.75","0.31%"
"Sep 29, 2016","101.03","100.69","101.86","100.64","0.36%"
"Sep 28, 2016","100.67","100.42","100.83","100.25","0.23%"
"Sep 27, 2016","100.44","100.33","101.00","100.08","0.11%"
"Sep 26, 2016","100.33","101.05","101.11","100.23","-0.66%"
"Sep 23, 2016","101.00","100.75","101.25","100.67","0.25%"
"Sep 22, 2016","100.75","100.33","100.94","100.09","0.44%"
"Sep 21, 2016","100.31","101.72","102.81","100.31","-1.38%"
"Sep 20, 2016","101.71","101.95","102.08","101.54","-0.23%"
"Sep 19, 2016","101.94","102.22","102.42","101.58","-0.35%"
"Sep 16, 2016","102.30","102.08","102.47","101.73","0.21%"
"Sep 15, 2016","102.09","102.42","102.75","101.92","-0.32%"
"Sep 14, 2016","102.42","102.56","103.36","102.25","-0.14%"
"Sep 13, 2016","102.56","101.88","102.77","101.42","0.69%"
"Sep 12, 2016","101.86","102.69","102.80","101.56","-0.81%"
"Sep 09, 2016","102.69","102.48","103.06","101.97","0.19%"
"Sep 08, 2016","102.50","101.75","102.61","101.41","0.76%"
"Sep 07, 2016","101.73","102.03","102.14","101.20","-0.28%"
"Sep 06, 2016","102.02","103.44","103.83","101.94","-1.37%"
"Sep 05, 2016","103.44","103.95","104.14","103.14","-0.53%"
"Sep 02, 2016","103.99","103.24","104.33","102.81","0.72%"
"Sep 01, 2016","103.25","103.42","104.02","103.05","-0.16%"
"Aug 31, 2016","103.42","102.95","103.53","102.84","0.44%"
"Aug 30, 2016","102.97","101.92","103.14","101.75","1.03%"
"Aug 29, 2016","101.92","101.83","102.41","101.83","0.09%"
"Aug 26, 2016","101.83","100.53","101.94","100.08","1.29%"
"Aug 25, 2016","100.53","100.44","100.62","100.28","0.09%"
"Aug 24, 2016","100.44","100.25","100.62","100.08","0.19%"
"Aug 23, 2016","100.25","100.33","100.41","99.92","-0.08%"
"Aug 22, 2016","100.33","100.42","100.94","100.20","0.11%"
"Aug 19, 2016","100.22","99.89","100.46","99.86","0.33%"
"Aug 18, 2016","99.89","100.28","100.50","99.64","-0.38%"
"Aug 17, 2016","100.27","100.33","101.18","100.05","-0.04%"
"Aug 16, 2016","100.31","101.27","101.31","99.56","-0.93%"
"Aug 15, 2016","101.25","101.22","101.47","100.86","-0.06%"
"Aug 12, 2016","101.31","101.94","102.28","100.83","-0.63%"
"Aug 11, 2016","101.95","101.28","102.06","101.00","0.66%"
"Aug 10, 2016","101.28","101.89","101.97","100.95","-0.60%"
"Aug 09, 2016","101.89","102.44","102.53","101.77","-0.54%"
"Aug 08, 2016","102.44","101.72","102.67","101.72","0.62%"
"Aug 05, 2016","101.81","101.22","102.06","100.85","0.58%"
"Aug 04, 2016","101.22","101.25","101.67","100.86","-0.01%"
"Aug 03, 2016","101.23","100.89","101.58","100.73","0.34%"
"Aug 02, 2016","100.89","102.39","102.83","100.67","-1.46%"
"Aug 01, 2016","102.39","102.06","102.69","102.00","0.32%"
"Jul 29, 2016","102.06","105.25","105.34","101.95","-3.05%"
"Jul 28, 2016","105.27","105.41","105.53","104.53","-0.12%"
"Jul 27, 2016","105.40","104.65","106.54","104.61","0.71%"
"Jul 26, 2016","104.66","105.81","105.89","104.00","-1.06%"
"Jul 25, 2016","105.78","106.22","106.73","105.73","-0.28%"
"Jul 22, 2016","106.08","105.81","106.39","105.56","0.26%"
"Jul 21, 2016","105.81","106.86","107.48","105.42","-0.96%"
"Jul 20, 2016","106.84","106.14","107.03","105.83","0.68%"
"Jul 19, 2016","106.12","106.16","106.53","105.64","-0.04%"
"Jul 18, 2016","106.16","105.13","106.26","105.05","1.26%"
"Jul 15, 2016","104.84","105.34","106.31","104.64","-0.47%"
"Jul 14, 2016","105.34","104.50","105.95","104.00","0.80%"
"Jul 13, 2016","104.50","104.69","104.89","103.91","-0.18%"
"Jul 12, 2016","104.69","102.80","104.97","102.42","1.83%"
"Jul 11, 2016","102.81","100.44","102.91","100.44","2.25%"
"Jul 08, 2016","100.55","100.78","101.25","100.03","-0.23%"
"Jul 07, 2016","100.78","101.34","101.44","100.61","-0.54%"
"Jul 06, 2016","101.33","101.73","101.78","100.19","-0.38%"
"Jul 05, 2016","101.72","102.58","102.61","101.45","-0.82%"
"Jul 04, 2016","102.56","102.53","102.81","102.42","0.03%"
"Jul 01, 2016","102.53","103.27","103.41","102.42","-0.74%"
"Jun 30, 2016","103.29","102.84","103.33","102.36","0.45%"
"Jun 29, 2016","102.83","102.77","102.95","102.17","0.07%"
"Jun 28, 2016","102.76","102.00","102.85","101.54","0.75%"
"Jun 27, 2016","102.00","102.11","102.47","101.39","-0.22%"
"Jun 24, 2016","102.23","106.17","106.85","99.12","-3.70%"
"Jun 23, 2016","106.16","104.42","106.19","104.11","1.68%"
"Jun 22, 2016","104.41","104.75","104.86","104.31","-0.32%"
"Jun 21, 2016","104.75","103.94","105.06","103.58","0.78%"
"Jun 20, 2016","103.94","104.34","104.86","103.78","-0.17%"
"Jun 17, 2016","104.12","104.28","104.84","104.09","-0.12%"
"Jun 16, 2016","104.25","106.00","106.03","103.58","-1.67%"
"Jun 15, 2016","106.02","106.11","106.39","105.47","-0.08%"
"Jun 14, 2016","106.11","106.27","106.42","105.61","-0.13%"
"Jun 13, 2016","106.25","106.92","106.92","105.73","-0.68%"
"Jun 10, 2016","106.98","107.08","107.28","106.56","-0.10%"
"Jun 09, 2016","107.09","106.97","107.19","106.25","0.10%"
"Jun 08, 2016","106.98","107.34","107.39","106.58","-0.35%"
"Jun 07, 2016","107.36","107.58","107.92","107.17","-0.19%"
"Jun 06, 2016","107.56","106.44","107.66","106.36","0.97%"
"Jun 03, 2016","106.53","108.88","109.14","106.50","-2.14%"
"Jun 02, 2016","108.86","109.53","109.59","108.50","-0.61%"
"Jun 01, 2016","109.53","110.69","110.83","109.05","-1.07%"
"May 31, 2016","110.71","111.13","111.37","110.51","-0.38%"
"May 30, 2016","111.13","110.42","111.45","110.31","0.82%"
"May 27, 2016","110.23","109.77","110.47","109.47","0.42%"
"May 26, 2016","109.77","110.19","110.25","109.39","-0.38%"
"May 25, 2016","110.19","110.00","110.47","109.86","0.18%"
"May 24, 2016","109.99","109.23","110.12","109.15","0.70%"
"May 23, 2016","109.23","110.09","110.25","109.09","-0.84%"
"May 20, 2016","110.15","109.96","110.59","109.84","0.16%"
"May 19, 2016","109.97","110.19","110.39","109.69","-0.20%"
"May 18, 2016","110.19","109.14","110.27","108.72","0.96%"
"May 17, 2016","109.14","109.03","109.66","108.83","0.10%"
"May 16, 2016","109.03","108.56","109.11","108.44","0.39%"
"May 13, 2016","108.61","109.02","109.50","108.52","-0.39%"
"May 12, 2016","109.03","108.42","109.41","108.22","0.56%"
"May 11, 2016","108.42","109.27","109.39","108.36","-0.78%"
"May 10, 2016","109.27","108.34","109.36","108.25","0.87%"
"May 09, 2016","108.33","107.11","108.61","107.02","1.13%"
"May 06, 2016","107.12","107.28","107.44","106.45","-0.12%"
"May 05, 2016","107.25","107.00","107.50","106.80","0.21%"
"May 04, 2016","107.02","106.61","107.47","106.25","0.38%"
"May 03, 2016","106.61","106.42","106.69","105.53","0.18%"
"May 02, 2016","106.42","106.29","106.83","106.16","0.06%"
"Apr 29, 2016","106.36","108.11","108.20","106.28","-1.62%"
"Apr 28, 2016","108.11","111.50","111.92","107.88","-3.01%"
"Apr 27, 2016","111.47","111.31","111.77","111.02","0.14%"
"Apr 26, 2016","111.31","111.20","111.48","110.66","0.10%"
"Apr 25, 2016","111.20","111.56","111.92","110.83","-0.53%"
"Apr 22, 2016","111.79","109.46","111.82","109.25","2.14%"
"Apr 21, 2016","109.45","109.88","109.91","109.31","-0.36%"
"Apr 20, 2016","109.84","109.20","109.89","108.75","0.59%"
"Apr 19, 2016","109.20","108.83","109.52","108.76","0.34%"
"Apr 18, 2016","108.83","108.23","109.00","107.83","0.06%"
"Apr 15, 2016","108.77","109.41","109.77","108.61","-0.58%"
"Apr 14, 2016","109.40","109.36","109.57","108.91","0.05%"
"Apr 13, 2016","109.34","108.53","109.41","108.48","0.73%"
"Apr 12, 2016","108.55","107.93","108.80","107.84","0.57%"
"Apr 11, 2016","107.94","108.05","108.44","107.61","-0.11%"
"Apr 08, 2016","108.06","108.20","109.11","108.01","-0.15%"
"Apr 07, 2016","108.22","109.78","109.86","107.67","-1.44%"
"Apr 06, 2016","109.80","110.32","110.64","109.31","-0.48%"
"Apr 05, 2016","110.33","111.32","111.36","109.94","-0.90%"
"Apr 04, 2016","111.33","111.68","111.81","111.06","-0.30%"
"Apr 01, 2016","111.67","112.56","112.59","111.56","-0.81%"
"Mar 31, 2016","112.58","112.39","112.67","112.08","0.14%"
"Mar 30, 2016","112.42","112.69","112.81","111.99","-0.24%"
"Mar 29, 2016","112.69","113.42","113.81","112.58","-0.67%"
"Mar 28, 2016","113.45","113.08","113.70","113.03","0.34%"
"Mar 25, 2016","113.07","112.91","113.33","112.73","0.14%"
"Mar 24, 2016","112.91","112.37","113.02","112.27","0.47%"
"Mar 23, 2016","112.38","112.36","112.93","112.12","0.00%"
"Mar 22, 2016","112.38","111.94","112.50","111.36","0.39%"
"Mar 21, 2016","111.94","111.43","111.98","111.20","0.33%"
"Mar 18, 2016","111.57","111.38","111.77","110.80","0.16%"
"Mar 17, 2016","111.39","112.53","112.97","110.65","-1.07%"
"Mar 16, 2016","112.59","113.14","113.83","112.31","-0.53%"
"Mar 15, 2016","113.19","113.81","113.94","112.61","-0.56%"
"Mar 14, 2016","113.83","113.82","114.02","113.48","0.02%"
"Mar 11, 2016","113.81","113.18","113.92","112.76","0.55%"
"Mar 10, 2016","113.19","113.34","114.45","112.61","-0.13%"
"Mar 09, 2016","113.34","112.62","113.48","112.20","0.65%"
"Mar 08, 2016","112.61","113.45","113.52","112.41","-0.76%"
"Mar 07, 2016","113.47","113.78","114.09","113.20","-0.25%"
"Mar 04, 2016","113.76","113.68","114.26","113.15","0.06%"
"Mar 03, 2016","113.69","113.48","114.28","113.28","0.19%"
"Mar 02, 2016","113.48","114.00","114.58","113.19","-0.46%"
"Mar 01, 2016","114.01","112.67","114.21","112.14","1.17%"
"Feb 29, 2016","112.69","113.84","114.01","112.62","-1.15%"
